Group,Name,Date,Total energy (J),Average power (W),Duration (s),Max (W),Min (W),Std,50%
java,java-jemalloc,2025-04-22_14-04-44,2211.4558,2.3976,922.3679,6.5911,1.6752,0.4436,2.3956
java,java-jemalloc,2025-04-22_14-30-36,2207.3456,2.3978,920.5669,6.949,1.6751,0.4417,2.3869
java,java-jemalloc,2025-04-22_14-57-04,2206.2947,2.4012,918.8479,6.5455,1.6751,0.4375,2.3967
,,,2246.3949,2.4189,928.4631,6.6646,1.6764,0.4412,2.4239
,,,,,,,,,
,,,,,,,,,
csharp,,,,,,,,,
csharp,csharp-default,2025-04-07_13-06-25,1718.7598,2.2476,764.7099,6.9997,1.6692,0.5558,2.2023
csharp,csharp-default,2025-04-07_13-58-21,1664.2741,2.2215,749.1759,7.0006,1.6605,0.5381,2.1201
csharp,csharp-default,2025-04-07_14-40-14,1694.9825,2.2097,767.0589,7.0455,1.6604,0.5445,2.0233
csharp,csharp-default,2025-04-07_14-56-53,1697.3926,2.2106,767.8499,6.9821,1.6635,0.5346,2.0399
csharp,csharp-default,2025-04-07_15-13-31,1694.3058,2.2145,765.1099,7.0281,1.6631,0.5373,2.0605
,,,1693.943,2.2208,762.7809,7.0112,1.6633,0.5421,2.0892
,,,,,,,,,
csharp,,,,,,,,,
csharp,csharp-jemalloc,2025-04-22_16-36-44,1763.3387,2.2163,795.6199,7.1603,1.6725,0.5309,2.0425
csharp,csharp-jemalloc,2025-04-22_17-00-35,1727.951,2.1957,786.9579,7.1631,1.6725,0.5276,2.0197
csharp,csharp-jemalloc,2025-04-22_17-24-59,1725.3917,2.1954,785.9169,7.2302,1.6725,0.5375,2.0137
csharp,csharp-jemalloc,2025-04-22_17-49-48,1704.301,2.1972,775.6579,7.1476,1.6718,0.5323,2.0162
csharp,csharp-jemalloc,2025-04-22_18-15-11,1731.316,2.1851,792.3169,7.1603,1.6717,0.5336,2.0084
,,,1730.4597,2.1979,787.2939,7.1723,1.6722,0.5324,2.0201
,,,,,,,,,
csharp,,,,,,,,,
csharp,csharp-quick-jit-false,2025-04-08_15-29-54,1784.9659,2.2185,804.5889,7.0251,1.6663,0.5364,2.0768
csharp,csharp-quick-jit-false,2025-04-08_15-49-16,1753.0959,2.214,791.8339,7.0323,1.6633,0.5181,2.0609
csharp,csharp-quick-jit-false,2025-04-08_16-07-53,1747.3198,2.2163,788.3789,7.0426,1.665,0.5296,2.0637
csharp,csharp-quick-jit-false,2025-04-08_16-26-31,1740.357,2.2171,784.9559,7.2258,1.6647,0.5335,2.0771
csharp,csharp-quick-jit-false,2025-04-08_16-45-59,1767.386,2.2037,802.0249,7.0411,1.6634,0.5227,2.0282
,,,1758.6249,2.2139,794.3565,7.0734,1.6645,0.5281,2.0613
go,,,,,,,,,
go,go-default,2025-04-14_15-47-55,1393.3423,1.8934,735.8819,6.0979,1.6699,0.2736,1.8895
go,go-default,2025-04-14_16-07-59,1379.9147,1.8914,729.5899,6.0469,1.6691,0.2734,1.8881
go,go-default,2025-04-14_16-28-30,1378.5359,1.8935,728.0349,6.0984,1.6698,0.2754,1.8888
go,go-default,2025-04-14_16-49-39,1389.2566,1.895,733.1039,5.9221,1.6694,0.2709,1.891
go,go-default,2025-04-14_17-11-15,1383.0298,1.8948,729.9029,6.0937,1.6695,0.2739,1.8896
,,,1384.8159,1.8936,731.3027,6.0518,1.6695,0.2734,1.8894
,,,,,,,,,
go,,,,,,,,,
go,go-jemalloc,2025-04-15_09-28-39,1390.1298,1.8943,733.8619,6.0087,1.6692,0.2766,1.8889
go,go-jemalloc,2025-04-15_09-52-08,1377.5443,1.8946,727.0919,6.054,1.6682,0.2796,1.8876
go,go-jemalloc,2025-04-15_10-15-44,1373.4679,1.8949,724.8389,5.9701,1.6678,0.2758,1.8889
go,go-jemalloc,2025-04-15_10-40-03,1389.5022,1.8912,734.7049,6.0117,1.6677,0.2742,1.8877
go,go-jemalloc,2025-04-15_11-04-54,1380.1078,1.8913,729.7209,5.8615,1.6671,0.2731,1.8876
,,,1382.1504,1.8933,730.0437,5.9812,1.668,0.2759,1.8881
,,,,,,,,,
go,,,,,,,,,
go,go-pgo,2025-04-15_13-43-25,1371.248,1.8859,727.1149,5.7901,1.6607,0.2743,1.8812
go,go-pgo,2025-04-15_14-10-47,1376.0887,1.8835,730.5899,6.1055,1.6589,0.277,1.8791
go,go-pgo,2025-04-15_14-38-39,1368.6421,1.886,725.7039,5.9993,1.6576,0.2805,1.8793
go,go-pgo,2025-04-15_15-07-04,1384.3835,1.8847,734.5429,5.8626,1.6577,0.2776,1.8791
go,go-pgo,2025-04-15_15-36-02,1374.1858,1.8862,728.5339,6.0265,1.6571,0.2775,1.8801
,,,1374.9096,1.8853,729.2971,5.9568,1.6584,0.2774,1.8798
,,,,,,,,,
